Comparacao Floegel x GeoTIFF - 105 Ma

"Matriz de confusao (linhas=GeoTIFF, colunas=Floegel)"
,Seco,Semi-arido,Umido
Seco,39563,685,4095
Semi-arido,23178,2283,1281
Umido,134226,7426,41878

Similaridade por classe
Classe,IoU (%),Recall (%),Precisao (%),Area GeoTIFF (%),Area Floegel (%)
Seco,19.61,89.22,20.09,17.42,77.36
Semi-arido,6.55,8.54,21.96,10.50,4.08
Umido,22.17,22.82,88.62,72.08,18.56

Similaridade geral
Acuracia global (%),32.88
Kappa de Cohen,0.0771
Pixels comparados,254615
